Title,Description,Priority,Estimate,Status,Labels
"[Setup] Project Init & CI", "Initialize Go module, set up linter (golangci-lint), and create GitHub Actions workflow for testing and static binary build.", "High", 1, "Completed", "infra"
"[Core] Define Domain Models", "Create structs for NodeState, HostInfo, CPUInfo, MemInfo, NetInfo, BenchmarkRun based on PRD schema.", "High", 1, "Completed", "backend"
"[Core] Define Interfaces (Ports)", "Define Collector, Uploader, and CommandRunner interfaces to enable TDD.", "High", 1, "Completed", "backend"
"[Inventory] Implement Linux CPU Collector", "TDD: Write parser test for /proc/cpuinfo -> Implement logic.", "Medium", 2, "Completed", "feature"
"[Inventory] Implement Linux Mem Collector", "TDD: Write parser test for /proc/meminfo -> Implement logic.", "Medium", 1, "Completed", "feature"
"[Inventory] Implement Linux Net/Disk Collector", "TDD: Write parser test for /sys/class/net and df command output -> Implement logic.", "Medium", 2, "Completed", "feature"
"[CLI] Implement 'agent collect' command", "Wire up Collectors to Cobra command. Output JSON to stdout.", "Medium", 1, "Completed", "feature"
"[Push] Implement HTTP Uploader", "TDD: Mock API server, test auth header and JSON body. Implement Retry logic.", "Medium", 2, "Completed", "feature"
"[CLI] Implement 'agent inventory push' command", "Wire up Collector and Uploader. Handle errors gracefully.", "Medium", 1, "Completed", "feature"
"[HPCG] Config Generator", "TDD: Input params -> Output hpcg.dat file content. Verify formatting.", "Medium", 1, "Completed", "feature"
"[HPCG] Log Parser", "TDD: Provide sample HPCG logs (pass/fail) -> Parse GFLOPS and status.", "High", 2, "Completed", "feature"
"[HPCG] Command Runner Adapter", "Implement exec.Command wrapper with context support (timeout handling).", "Medium", 2, "Completed", "backend"
"[HPCG] Workflow Orchestrator", "Implement the full Build -> Config -> Run -> Parse pipeline logic. Mock the runner steps.", "High", 5, "Todo", "feature"
"[CLI] Implement 'agent hpcg' command", "Wire up HPCG workflow to Cobra. Handle CLI flags.", "Medium", 2, "Todo", "feature"
"[Artifacts] Atomic Write Logic", "Implement write to .tmp and rename to final directory logic.", "Medium", 1, "Todo", "feature"
