Title,Description,Priority,Estimate,Status,Labels
"[Setup] Rails Init & CI", "Initialize Rails 7.1 app, Postgres, Tailwind, RSpec, Rubocop. Setup GitHub Actions.", "High", 1, "Completed", "infra"
"[Auth] User Model & Devise", "Install Devise, configure User model, generate views. TDD: Sign in/out specs.", "High", 1, "Completed", "backend"
"[Core] Node Model & Factory", "Create Node model with validations and enums. Setup FactoryBot.", "High", 1, "Completed", "backend"
"[Core] NodeState Model (Versioning)", "Create NodeState model with jsonb fields. Implement logic to hash/compare states.", "High", 2, "Completed", "backend"
"[Inventory] CSV Import Service", "Implement Service to parse CSV and upsert Nodes. TDD: Handle valid/invalid CSVs.", "Medium", 2, "Completed", "backend"
"[Inventory] Import UI (Turbo Frame)", "Build Modal UI for CSV upload using Turbo Frame.", "Medium", 1, "Completed", "frontend"
"[Inventory] Trigger Collect Service (SSH)", "Implement Service using net-ssh to connect to Gateway and run commands. Mock SSH in tests.", "High", 3, "Completed", "backend"
"[Inventory] Process State Service", "Logic to handle incoming JSON, version diffing, and creating NodeStates.", "High", 2, "Completed", "backend"
"[API] Agent Push Endpoint", "Implement API::V1::InventoryController with Token Auth. Connect to ProcessStateService.", "High", 2, "Completed", "backend"
"[Dashboard] Layout & Sidebar", "Implement main layout with Glassmorphism Sidebar and Dark mode toggle (Stimulus).", "Medium", 2, "Completed", "frontend"
"[Dashboard] Metrics Service", "Implement service to calculate availability and success rates efficiently.", "Medium", 1, "Completed", "backend"
"[Dashboard] Heatmap UI & Stimulus", "Build visual grid. Implement Stimulus controller to handle click filtering.", "Medium", 2, "Completed", "frontend"
"[Runs] BenchmarkRun Model", "Create model, migrations, and relationships to Nodes/Recipes.", "High", 1, "Completed", "backend"
"[Runs] Slide-over Inspector UI", "Implement the slide-over panel using Tailwind transitions and Turbo Frames for content loading.", "Medium", 3, "Completed", "frontend"
"[Runs] List & Filtering", "Implement Runs index page with Turbo Frame based searching/filtering.", "Medium", 2, "Completed", "frontend"
"[Agent] Remote Installation & Management", "Implement cross-compilation, multi-hop deployment, uninstallation, and real-time status updates.", "High", 5, "Completed", "feature"
"[UI] Add Architecture Column", "Add Architecture information to the nodes list table for better overview.", "Low", 1, "Completed", "frontend"
"[Agent] Node Identity (Hybrid UUID)", "Implement hardware-bound stable identification and server-side auto-registration.", "High", 3, "Completed", "feature"
"[Dashboard] Hero Metrics (PRD v0.5.2)", "Implement PRD-aligned metrics: Availability, Health, Queue, and Cluster Storage.", "Medium", 2, "Completed", "feature"
"[Node] Version History UI", "Implement dropdown and Turbo Frame to view historical hardware snapshots.", "Medium", 2, "Completed", "frontend"
"[Runs] Artifact Management", "Implement tracking and UI for raw benchmark output files and logs.", "Medium", 2, "Completed", "feature"
